3 100000
0 0.001 1 0.001 0 0
0 22.801 0.08802 22.801 -nan -nan
0 22.901 0.08402 22.901 -nan -nan
0 23.001 0.08002 23.001 -nan -nan
0 23.101 0.07602 23.101 -nan -nan
0 23.201 0.07202 23.201 -nan -nan
0 23.301 0.06802 23.301 -nan -nan
0 23.401 0.06402 23.401 -nan -nan
0 23.501 0.06002 23.501 -nan -nan
0 23.601 0.05602 23.601 -nan -nan
0 23.701 0.05202 23.701 -nan -nan
0 23.801 0.04802 23.801 -nan -nan
0 23.901 0.04402 23.901 -nan -nan
0 24.001 0.04002 24.001 -nan -nan
0 24.101 0.03602 24.101 -nan -nan
0 24.201 0.03202 24.201 -nan -nan
0 24.301 0.02802 24.301 -nan -nan
0 24.401 0.02402 24.401 -nan -nan
0 24.501 0.02002 24.501 -nan -nan
0 24.601 0.01602 24.601 -nan -nan
0 24.701 0.01202 24.701 -nan -nan
0 24.801 0.00802 24.801 -nan -nan
0 24.901 0.00402 24.901 -nan -nan
0 25.001 2e-05 25.001 -nan -nan
0 25.101 -0.00398 25.101 -nan -nan
0 25.201 -0.00798 25.201 -nan -nan
0 25.301 -0.01198 25.301 -nan -nan
0 25.401 -0.01598 25.401 -nan -nan
0 25.501 -0.01998 25.501 -nan -nan
0 25.601 -0.02398 25.601 -nan -nan
0 25.701 -0.02798 25.701 -nan -nan
0 25.801 -0.03198 25.801 -nan -nan
0 25.901 -0.03598 25.901 -nan -nan
0 26.001 -0.03998 26.001 -nan -nan
0 26.101 -0.04398 26.101 -nan -nan
0 26.201 -0.04798 26.201 -nan -nan
0 26.301 -0.05198 26.301 -nan -nan
0 26.401 -0.05598 26.401 -nan -nan
0 26.501 -0.05998 26.501 -nan -nan
0 26.601 -0.06398 26.601 -nan -nan
0 26.701 -0.06798 26.701 -nan -nan
0 26.801 -0.07198 26.801 -nan -nan
0 26.901 -0.07598 26.901 -nan -nan
0 27.001 -0.07998 27.001 -nan -nan
0 27.101 -0.08398 27.101 -nan -nan
0 27.201 -0.08798 27.201 -nan -nan
0 27.301 -0.09198 27.301 -nan -nan
0 27.401 -0.09598 27.401 -nan -nan
0 27.501 -0.09998 27.501 -nan -nan
0 27.601 -0.10398 27.601 -nan -nan
0 27.701 -0.10798 27.701 -nan -nan
0 27.801 -0.11198 27.801 -nan -nan
0 27.901 -0.11598 27.901 -nan -nan
0 28.001 -0.11998 28.001 -nan -nan
0 28.101 -0.12398 28.101 -nan -nan
0 28.201 -0.12798 28.201 -nan -nan
0 28.301 -0.13198 28.301 -nan -nan
0 28.401 -0.13598 28.401 -nan -nan
0 28.501 -0.13998 28.501 -nan -nan
0 28.601 -0.14398 28.601 -nan -nan
0 28.701 -0.14798 28.701 -nan -nan
0 28.801 -0.15198 28.801 -nan -nan
0 28.901 -0.15598 28.901 -nan -nan
0 29.001 -0.15998 29.001 -nan -nan
0 29.101 -0.16398 29.101 -nan -nan
0 29.201 -0.16798 29.201 -nan -nan
0 29.301 -0.17198 29.301 -nan -nan
0 29.401 -0.17598 29.401 -nan -nan
0 29.501 -0.17998 29.501 -nan -nan
0 29.601 -0.18398 29.601 -nan -nan
0 29.701 -0.18798 29.701 -nan -nan
0 29.801 -0.19198 29.801 -nan -nan
0 29.901 -0.19598 29.901 -nan -nan
0 30.001 -0.19998 30.001 -nan -nan
